@RELATION 'Spam Base, without duplicates, with normalization, downsampled to 05 pct, v01'

@ATTRIBUTE 'att1' real
@ATTRIBUTE 'att2' real
@ATTRIBUTE 'att3' real
@ATTRIBUTE 'att4' real
@ATTRIBUTE 'att5' real
@ATTRIBUTE 'att6' real
@ATTRIBUTE 'att7' real
@ATTRIBUTE 'att8' real
@ATTRIBUTE 'att9' real
@ATTRIBUTE 'att10' real
@ATTRIBUTE 'att11' real
@ATTRIBUTE 'att12' real
@ATTRIBUTE 'att13' real
@ATTRIBUTE 'att14' real
@ATTRIBUTE 'att15' real
@ATTRIBUTE 'att16' real
@ATTRIBUTE 'att17' real
@ATTRIBUTE 'att18' real
@ATTRIBUTE 'att19' real
@ATTRIBUTE 'att20' real
@ATTRIBUTE 'att21' real
@ATTRIBUTE 'att22' real
@ATTRIBUTE 'att23' real
@ATTRIBUTE 'att24' real
@ATTRIBUTE 'att25' real
@ATTRIBUTE 'att26' real
@ATTRIBUTE 'att27' real
@ATTRIBUTE 'att28' real
@ATTRIBUTE 'att29' real
@ATTRIBUTE 'att30' real
@ATTRIBUTE 'att31' real
@ATTRIBUTE 'att32' real
@ATTRIBUTE 'att33' real
@ATTRIBUTE 'att34' real
@ATTRIBUTE 'att35' real
@ATTRIBUTE 'att36' real
@ATTRIBUTE 'att37' real
@ATTRIBUTE 'att38' real
@ATTRIBUTE 'att39' real
@ATTRIBUTE 'att40' real
@ATTRIBUTE 'att41' real
@ATTRIBUTE 'att42' real
@ATTRIBUTE 'att43' real
@ATTRIBUTE 'att44' real
@ATTRIBUTE 'att45' real
@ATTRIBUTE 'att46' real
@ATTRIBUTE 'att47' real
@ATTRIBUTE 'att48' real
@ATTRIBUTE 'att49' real
@ATTRIBUTE 'att50' real
@ATTRIBUTE 'att51' real
@ATTRIBUTE 'att52' real
@ATTRIBUTE 'att53' real
@ATTRIBUTE 'att54' real
@ATTRIBUTE 'att55' real
@ATTRIBUTE 'att56' real
@ATTRIBUTE 'att57' real
@ATTRIBUTE 'id' real
@ATTRIBUTE 'outlier' {'yes','no'}

@DATA
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08085808580858085,0.0,0.15201654601861428,0.0,0.0,0.0,0.0,0.0,0.0,0.39199999999999996,0.0,0.1372549019607843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007076000000000001,0.00941492938802959,0.0038508086698206623,623.0,'yes'
0.10599078341013826,0.06442577030812326,0.18039215686274512,0.0,0.046,0.0,0.0,0.0782312925170068,0.0,0.10176017601760176,0.0,0.23888314374353672,0.0,0.046,0.0,0.023,0.0,0.0,0.09866666666666667,0.0,0.5182072829131652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04718590108015918,0.0,0.05120389186526264,0.07968,0.01120561630889699,0.195464,0.4270342972427707,0.08218725932445814,879.0,'yes'
0.0391705069124424,0.0,0.03333333333333334,0.0,0.143,0.05782312925170068,0.016286644951140065,0.008503401360544218,0.009505703422053233,0.0027502750275027505,0.025,0.052740434332988625,0.050450450450450456,0.005,0.0,0.0,0.1796875,0.006501950585175552,0.224,0.046370967741935484,0.09617180205415499,0.009941520467836256,0.18453865336658354,0.005128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002280501710376283,0.009475080538184575,0.0,6.158014656074881E-4,0.05152,0.004050222762251924,0.004372,0.03362474781439139,0.058862361095830124,870.0,'yes'
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05462184873949579,0.0,0.0,0.0,0.0,0.08394921356831533,0.0,0.006804606194962743,0.21280000000000002,0.0,0.011248,0.00941492938802959,0.006601386291121136,808.0,'yes'
0.020737327188940093,0.03431372549019608,0.11568627450980393,0.0,0.028999999999999998,0.03231292517006803,0.0,0.0,0.017110266159695818,0.02145214521452145,0.0,0.16339193381592554,0.03423423423423424,0.0,0.0,0.0,0.0234375,0.0,0.2005333333333333,0.01814516129032258,0.10177404295051354,0.0,0.0,0.00923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17445838084378565,0.007011559598256585,0.0,0.17953691729786317,0.41888,0.0,0.02,0.03564223268325487,0.08306744416327429,1767.0,'yes'
0.0,0.0,0.0,0.0,0.091,0.0,0.2964169381107492,0.0,0.0,0.05005500550055006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02539321584233466,0.0,0.020690929244411602,0.08608,0.0,0.013399999999999999,0.020174848688634835,0.009461987017273627,317.0,'yes'
0.0,0.0,0.3764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2496749024707412,0.10239999999999999,0.0,0.17927170868347336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016639999999999997,0.0033624747814391394,0.0017603696776323028,1363.0,'yes'
0.0,0.0,0.06274509803921569,0.0,0.065,0.11054421768707484,0.10423452768729642,0.054421768707483,0.0,0.0,0.0,0.033092037228541885,0.05765765765765766,0.0,0.0,0.016,0.08333333333333334,0.0,0.12159999999999999,0.0,0.3034547152194211,0.0,0.0,0.03282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014939309056956115,0.0,0.0,0.0,0.0,0.019708167519423912,0.0,0.0,0.05024,0.007020386121236667,0.0021479999999999997,0.00605245460659045,0.015623280888986688,225.0,'yes'
0.0,0.046218487394957986,0.12941176470588237,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.06825232678386764,0.0,0.0,0.0,0.0165,0.0,0.1716514954486346,0.1408,0.0,0.12324929971988795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015406162464985993,0.0,0.0,0.0,0.0,0.010043585370475649,0.0,0.01795061272245828,0.0,0.0,0.012096,0.08069939475453934,0.03575750907690615,179.0,'yes'
0.14976958525345624,0.03431372549019608,0.06274509803921569,0.0,0.032,0.0272108843537415,0.0,0.08333333333333333,0.12357414448669203,0.02695269526952695,0.08,0.1344364012409514,0.0,0.0,0.036281179138321996,0.056999999999999995,0.3385416666666667,0.02080624187256177,0.192,0.09879032258064516,0.1680672268907563,0.0,0.0,0.050256410256410255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007256235827664399,0.0,0.0,0.0,0.04377487208641274,0.0,0.028480817784346326,0.07392,0.3091670041852302,0.019332000000000002,0.03093476798924008,0.06535372428209923,1375.0,'yes'
0.0,0.08403361344537816,0.07843137254901962,0.0,0.04,0.0,0.26058631921824105,0.06802721088435375,0.0,0.0,0.0,0.0827300930713547,0.07207207207207207,0.0,0.0,0.04,0.10416666666666667,0.15604681404421325,0.19306666666666666,0.0,0.1503267973856209,0.0,0.0,0.16512820512820514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018674136321195144,0.0,0.0,0.0,0.0,0.013075611142694713,0.0,0.016996120450766674,0.06624,0.018631024706358853,0.022608,0.04572965702757229,0.016723511937506878,1757.0,'yes'
